transaction_id,booking_id,transaction_date,transaction_time,transaction_hour,room_number,room_type,nights,base_rate,amount,payment_method,channel,transaction_type,staff_id,is_anomaly,anomaly_type
TXN0000001,BK001623,2024-04-10,16:09:00,16,114,Queen Room,1,95,95.0,OTA (Booking.com),Direct Website,Room Charge,STAFF004,0,None
TXN0000002,BK002006,2024-05-02,15:49:00,15,117,Queen Room,2,95,190.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000003,BK002437,2024-05-28,14:54:00,14,118,Standard Double,2,85,170.0,OTA (Booking.com),Expedia,Room Charge,STAFF001,0,None
TXN0000004,BK000246,2024-01-19,14:18:00,14,146,Suite,4,140,641.46,OTA (Booking.com),Booking.com,Room Charge,STAFF001,0,None
TXN0000005,BK001183,2024-03-18,16:52:00,16,101,Standard Double,1,15,15.0,Credit Card,Front Desk,Late Check-out Fee,STAFF003,0,None
TXN0000006,BK000517,2024-02-08,16:21:00,16,123,Standard Single,1,65,65.0,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000007,BK003456,2024-07-13,19:33:00,19,126,Queen Room,3,95,299.91,OTA (Booking.com),Direct Website,Room Charge,STAFF001,0,None
TXN0000008,BK001815,2024-04-21,14:27:00,14,105,Standard Single,1,25,25.0,Cash,Front Desk,Late Check-out Fee,STAFF001,0,None
TXN0000009,BK001498,2024-04-03,17:27:00,17,106,Standard Single,1,65,65.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000010,BK001977,2024-05-01,17:58:00,17,138,Standard Double,4,85,340.0,Cash,Front Desk,Room Charge,STAFF003,0,None
TXN0000011,BK004887,2024-09-24,13:17:00,13,148,Queen Room,1,20,20.0,OTA (Booking.com),Hotels.com,Parking Fee,STAFF003,0,None
TXN0000012,BK004501,2024-08-30,13:01:00,13,136,Suite,7,140,1044.12,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000013,BK002281,2024-05-18,12:45:00,12,138,Queen Room,3,95,303.37,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000014,BK005868,2024-11-29,13:34:00,13,124,Standard Single,1,65,73.09,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000015,BK006120,2024-12-19,14:54:00,14,114,Standard Double,1,25,25.0,OTA (Booking.com),Hotels.com,Late Check-out Fee,STAFF004,0,None
TXN0000016,BK002742,2024-06-11,15:49:00,15,137,Standard Single,3,65,195.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000017,BK000027,2024-01-03,12:06:00,12,143,Queen Room,3,95,285.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000018,BK005383,2024-10-24,13:03:00,13,112,Standard Double,3,85,255.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000019,BK004421,2024-08-26,17:29:00,17,150,Standard Single,1,20,20.0,OTA (Booking.com),Expedia,Pet Fee,STAFF001,0,None
TXN0000020,BK004912,2024-09-25,17:23:00,17,136,Queen Room,1,20,20.0,Cash,Front Desk,Parking Fee,STAFF001,0,None
TXN0000021,BK001040,2024-03-10,17:09:00,17,129,Standard Double,3,85,274.77,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000022,BK004758,2024-09-16,17:53:00,17,123,Standard Double,1,85,85.0,OTA (Booking.com),Booking.com,Room Charge,STAFF002,0,None
TXN0000023,BK002965,2024-06-22,17:54:00,17,137,Standard Double,4,85,373.17,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000024,BK000207,2024-01-15,16:54:00,16,139,Queen Room,1,95,95.0,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000025,BK001741,2024-04-17,14:51:00,14,131,Standard Double,1,85,85.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000026,BK005246,2024-10-15,14:17:00,14,148,Queen Room,3,95,285.0,OTA (Booking.com),Expedia,Room Charge,STAFF003,0,None
TXN0000027,BK003729,2024-07-25,12:21:00,12,102,Standard Single,1,65,65.0,OTA (Booking.com),Expedia,Room Charge,STAFF005,0,None
TXN0000028,BK005015,2024-10-01,15:06:00,15,149,Standard Double,1,85,85.0,Cash,Front Desk,Room Charge,STAFF001,0,None
TXN0000029,BK002966,2024-06-22,14:39:00,14,118,Suite,2,140,297.07,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000030,BK003394,2024-07-09,14:55:00,14,104,Standard Single,1,65,65.0,OTA (Booking.com),Direct Website,Room Charge,STAFF004,0,None
TXN0000031,BK002941,2024-06-21,16:47:00,16,137,Standard Single,2,65,146.51,Cash,Front Desk,Room Charge,STAFF005,0,None
TXN0000032,BK001776,2024-04-19,12:16:00,12,122,Standard Single,2,65,141.55,OTA (Booking.com),Hotels.com,Room Charge,STAFF002,0,None
TXN0000033,BK003584,2024-07-19,12:50:00,12,126,Standard Double,5,85,456.97,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000034,BK000785,2024-02-24,16:20:00,16,123,Queen Room,4,95,425.71,OTA (Booking.com),Hotels.com,Room Charge,STAFF003,0,None
TXN0000035,BK001084,2024-03-12,19:44:00,19,120,Queen Room,1,95,95.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000036,BK000911,2024-03-03,14:58:00,14,152,Standard Double,3,85,283.66,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000037,BK003836,2024-07-30,14:16:00,14,122,Suite,2,140,280.0,Cash,Front Desk,Room Charge,STAFF002,0,None
TXN0000038,BK006043,2024-12-12,19:37:00,19,143,Queen Room,2,95,190.0,Credit Card,Front Desk,Room Charge,STAFF005,0,None
TXN0000039,BK002282,2024-05-18,13:37:00,13,105,Standard Double,1,20,20.0,OTA (Booking.com),Booking.com,Late Check-out Fee,STAFF004,0,None
TXN0000040,BK006351,2024-03-28,03:30:00,3,108,Queen Room,1,95,106.52,Credit Card,Front Desk,Room Charge,STAFF003,1,Odd-Hour Transaction
TXN0000041,BK002258,2024-05-17,14:24:00,14,146,Queen Room,4,95,436.49,Cash,Front Desk,Room Charge,STAFF003,0,None
TXN0000042,BK003231,2024-07-03,14:45:00,14,149,Queen Room,4,95,380.0,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000043,BK001279,2024-03-22,15:39:00,15,107,Standard Double,4,85,371.41,OTA (Booking.com),Hotels.com,Room Charge,STAFF005,0,None
TXN0000044,BK000564,2024-02-11,14:36:00,14,118,Queen Room,2,95,205.49,OTA (Booking.com),Direct Website,Room Charge,STAFF004,0,None
TXN0000045,BK004574,2024-09-03,13:20:00,13,151,Queen Room,1,15,15.0,Cash,Front Desk,Pet Fee,STAFF004,0,None
TXN0000046,BK000923,2024-03-04,15:37:00,15,144,Standard Double,2,85,170.0,Cash,Front Desk,Room Charge,STAFF003,0,None
TXN0000047,BK003825,2024-07-29,13:13:00,13,117,Standard Single,1,65,65.0,Cash,Front Desk,Room Charge,STAFF003,0,None
TXN0000048,BK002871,2024-06-18,13:58:00,13,145,Queen Room,2,95,190.0,OTA (Booking.com),Expedia,Room Charge,STAFF005,0,None
TXN0000049,BK003007,2024-06-23,15:53:00,15,106,Standard Double,3,85,285.87,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000050,BK000572,2024-02-12,18:44:00,18,111,Standard Double,2,85,170.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000051,BK004103,2024-08-10,17:09:00,17,121,Queen Room,1,20,20.0,Credit Card,Front Desk,Pet Fee,STAFF002,0,None
TXN0000052,BK000273,2024-01-21,17:43:00,17,128,Standard Single,2,65,144.19,OTA (Booking.com),Booking.com,Room Charge,STAFF005,0,None
TXN0000053,BK003360,2024-07-07,13:48:00,13,136,Standard Single,3,65,210.41,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000054,BK005213,2024-10-14,14:56:00,14,143,Standard Double,1,10,10.0,Credit Card,Front Desk,Pet Fee,STAFF004,0,None
TXN0000055,BK004299,2024-08-19,13:31:00,13,125,Suite,2,140,280.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000056,BK004958,2024-09-28,17:12:00,17,148,Standard Double,1,15,15.0,Cash,Front Desk,Late Check-out Fee,STAFF003,0,None
TXN0000057,BK006250,2024-12-29,17:08:00,17,152,Queen Room,7,95,743.46,OTA (Booking.com),Hotels.com,Room Charge,STAFF003,0,None
TXN0000058,BK005517,2024-11-02,16:12:00,16,146,Standard Double,4,85,361.62,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000059,BK000188,2024-01-14,14:27:00,14,106,Standard Single,3,65,210.07,OTA (Booking.com),Booking.com,Room Charge,STAFF002,0,None
TXN0000060,BK004276,2024-08-18,14:09:00,14,130,Queen Room,3,95,310.8,OTA (Booking.com),Hotels.com,Room Charge,STAFF003,0,None
TXN0000061,BK005513,2024-11-02,16:57:00,16,120,Queen Room,1,10,10.0,Cash,Front Desk,Late Check-out Fee,STAFF005,0,None
TXN0000062,BK004119,2024-08-11,14:58:00,14,125,Standard Single,1,65,70.83,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000063,BK002385,2024-05-24,15:33:00,15,127,Standard Double,1,85,94.76,OTA (Booking.com),Booking.com,Room Charge,STAFF003,0,None
TXN0000064,BK002417,2024-05-26,16:53:00,16,141,Standard Double,2,85,187.76,Credit Card,Front Desk,Room Charge,STAFF002,0,None
TXN0000065,BK004915,2024-09-25,12:28:00,12,101,Standard Single,1,65,65.0,Credit Card,Front Desk,Room Charge,STAFF003,0,None
TXN0000066,BK002549,2024-06-03,17:05:00,17,129,Suite,1,140,140.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000067,BK001253,2024-03-21,12:52:00,12,124,Suite,2,140,280.0,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000068,BK002163,2024-05-12,15:31:00,15,137,Standard Single,2,65,148.3,Credit Card,Front Desk,Room Charge,STAFF004,0,None
TXN0000069,BK003129,2024-06-29,15:43:00,15,112,Queen Room,1,95,107.38,OTA (Booking.com),Expedia,Room Charge,STAFF002,0,None
TXN0000070,BK002183,2024-05-13,14:32:00,14,143,Standard Double,1,85,85.0,Cash,Front Desk,Room Charge,STAFF005,0,None
TXN0000071,BK001207,2024-03-19,13:00:00,13,114,Standard Double,3,85,255.0,OTA (Booking.com),Booking.com,Room Charge,STAFF001,0,None
TXN0000072,BK003920,2024-08-03,14:20:00,14,136,Standard Double,1,85,92.86,Cash,Front Desk,Room Charge,STAFF001,0,None
TXN0000073,BK005867,2024-11-28,13:22:00,13,107,Standard Double,1,25,25.0,Credit Card,Front Desk,Pet Fee,STAFF004,0,None
TXN0000074,BK000658,2024-02-18,14:24:00,14,134,Standard Single,1,25,25.0,Credit Card,Front Desk,Early Check-in Fee,STAFF001,0,None
TXN0000075,BK004801,2024-09-18,16:06:00,16,145,Standard Double,2,85,170.0,OTA (Booking.com),Expedia,Room Charge,STAFF003,0,None
TXN0000076,BK005807,2024-11-24,12:22:00,12,145,Suite,2,140,297.16,Credit Card,Front Desk,Room Charge,STAFF001,0,None
TXN0000077,BK006374,2024-01-09,17:39:00,12,102,Queen Room,1,95,553.49,Credit Card,Front Desk,Room Charge,STAFF003,1,Unusually High Amount
TXN0000078,BK005068,2024-10-05,18:40:00,18,110,Standard Single,1,65,71.53,OTA (Booking.com),Hotels.com,Room Charge,STAFF001,0,None
TXN0000079,BK003630,2024-07-21,13:03:00,13,146,Standard Single,1,10,10.0,Credit Card,Front Desk,Pet Fee,STAFF003,0,None
